geo,breast_cancer_1990,breast_cancer_2003,breast_cancer_2016,cervical_cancer_1990,cervical_cancer_2003,cervical_cancer_2016,colon_rectum_1990,colon_rectum_2003,colon_rectum_2016,liver_cancer_1990,liver_cancer_2003,liver_cancer_2016,lung_cancer_1990,lung_cancer_2003,lung_cancer_2016
Afghanistan,28.3,33.3,34.4,17.0,16.1,13.0,12.2,13.2,12.3,5.58,5.97,5.75,9.94,8.87,9.63
Albania,14.8,24.1,28.6,7.49,8.18,7.37,6.41,7.68,8.14,7.18,6.58,4.56,8.6,12.0,9.59
Algeria,14.3,20.3,31.1,11.2,6.72,6.38,5.29,6.44,7.7,2.48,1.42,1.54,3.25,2.61,2.84
Andorra,90.7,92.4,101.0,11.1,8.28,7.93,32.0,29.0,30.4,2.06,2.37,2.57,11.5,13.3,15.5
Angola,20.5,21.9,22.0,54.7,50.0,37.4,8.84,8.84,8.32,7.67,7.34,6.83,6.04,5.92,6.6
Antigua and Barbuda,48.3,55.8,64.4,18.6,16.3,15.1,19.6,22.2,27.7,5.72,4.25,4.06,5.25,5.16,5.4
Argentina,48.9,60.6,65.7,31.6,31.2,29.7,18.1,20.7,22.4,4.15,3.54,3.27,9.8,11.3,13.8
Armenia,44.1,63.2,60.7,20.4,20.2,16.4,13.8,15.6,17.7,8.03,7.98,7.67,9.11,9.13,9.67
Australia,82.1,97.3,94.8,10.6,6.37,5.57,46.1,47.5,44.7,1.15,2.06,2.7,19.1,24.7,29.1
Austria,83.5,84.0,79.4,17.6,10.7,8.69,39.5,33.5,29.6,3.14,4.04,4.43,14.0,19.8,26.1
Azerbaijan,27.3,32.5,37.5,11.9,14.1,11.9,10.1,9.09,10.7,6.9,7.14,6.62,7.51,6.26,6.75
Bahamas,80.5,94.2,111.0,33.6,28.4,25.9,28.2,31.9,36.5,5.64,4.25,4.0,7.93,7.93,8.51
Bahrain,39.9,53.1,58.0,8.87,6.9,4.8,10.8,11.4,12.0,4.27,4.56,3.66,17.7,12.4,9.81
Bangladesh,11.1,12.7,14.7,28.9,13.8,10.1,8.53,6.62,8.53,1.78,1.93,1.95,8.87,6.6,12.0
Barbados,72.3,85.5,97.2,38.7,21.6,20.6,30.8,35.9,42.6,5.8,3.96,3.76,5.38,4.88,5.88
Belarus,41.4,48.3,42.2,16.4,18.4,14.7,23.5,24.4,22.4,1.64,1.86,2.17,7.24,5.58,5.36
Belgium,114.0,121.0,115.0,12.0,9.65,7.92,42.2,37.1,35.4,2.89,2.64,3.44,13.4,19.3,26.0
Belize,13.3,23.1,26.1,29.5,47.1,40.5,8.43,13.1,15.6,9.72,10.0,9.35,5.74,8.21,9.09
Benin,12.2,13.7,15.7,27.1,27.4,27.1,4.61,5.09,5.77,10.7,10.5,9.76,3.63,3.92,4.56
Bhutan,16.4,13.8,16.6,26.6,13.9,9.97,6.07,5.35,5.41,2.09,2.3,2.3,4.02,4.02,4.15
Bolivia,22.4,22.6,26.8,56.7,37.4,32.3,15.8,16.7,20.7,8.1,7.6,7.9,8.93,8.7,8.92
Bosnia and Herzegovina,21.7,32.4,42.5,13.7,12.2,11.7,16.1,18.7,20.9,3.81,4.91,6.17,12.3,13.1,14.6
Botswana,20.6,33.8,37.0,45.0,59.2,41.6,7.42,9.75,9.51,4.21,4.42,4.17,8.43,9.53,8.13
Brazil,29.6,39.7,42.6,24.6,21.1,17.3,13.2,17.3,19.3,4.98,4.41,4.36,10.2,11.8,11.9
Brunei,46.1,58.2,78.1,31.7,23.3,22.2,26.9,30.1,38.0,7.09,6.68,8.49,21.3,23.6,31.4
Bulgaria,50.4,59.3,67.4,18.3,22.3,19.3,23.2,27.5,30.0,5.19,4.26,3.88,8.01,9.01,10.4
Burkina Faso,10.8,11.4,13.1,32.5,31.9,31.5,6.8,7.17,7.58,11.1,10.4,9.65,3.07,3.09,3.18
Burundi,23.1,19.9,17.8,74.7,62.3,49.0,10.4,9.6,8.54,7.96,7.12,6.36,3.54,3.24,3.34
Cambodia,23.1,25.3,25.9,32.0,29.2,22.4,12.4,12.6,11.2,4.84,4.87,4.33,10.7,10.6,9.63
Cameroon,16.0,20.3,21.4,28.7,31.8,28.5,5.61,6.67,6.82,13.1,13.1,11.7,5.21,5.51,5.34
