geo,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,23.6,22.6,18.3,15.1,18.5,17.9,17.4,17,16.6,16.1,15.8,21.1,21.9,23.3,23.2,24.2,25,27.3,28.4,31,32.5,33.7,33.9,33.7,34.1,33.9,33.2,33.3,33.6,33.8,34.1,34.5
Albania,16.4,16.4,16.3,16.8,17,22.3,22.4,24,26.1,26.4,27.2,27.6,27.5,28.7,30.2,31.2,37.9,34.7,38.4,38,36.9,38.6,39.6,40.8,41.3,42.2,42.5,43.7,44.7,45.7,46.7,47.6
Algeria,51.2,51.4,51,50.8,51,51.9,52.6,52.1,52.4,53.3,53,52.7,52.6,52.6,50.3,48.4,46.9,46.1,44.2,44.6,45.7,45.2,47.3,40.4,40.3,41.2,41.3,41.8,41.8,41.7,41.6,41.7
Angola,56.4,57.4,52.9,52.6,51.5,52,52.7,54.9,53.3,56.4,57.2,54.4,54.9,55.6,54.4,52.3,51.8,50.5,49,43.7,40.8,40.2,41.2,41.1,41.6,41.4,40.4,40.6,40.8,41.1,41.5,41.9
Argentina,58.4,58.6,61.1,61.8,64.6,65.9,64.2,64.5,66.7,68,69.1,71.4,69.5,67.4,66.6,66,65.1,65,65.7,65.6,65.7,66,65.1,64.4,64.9,65.1,65.6,65.7,65.8,65.9,66,66.1
Armenia,31.1,29.1,27.3,25.7,28.2,30.2,31.9,32.4,33.7,34.7,35.5,36.6,37.7,38.9,39.6,40.1,41.3,39.5,38.9,41.7,41.3,42.1,44.9,46,45.6,46.7,46.6,47.2,47.9,48.6,49.2,49.8
Australia,61.5,61.7,61.6,61.9,62.7,63.1,63.3,63.8,64.2,63.6,64.6,64.6,65.1,64.7,64.9,64.6,64.7,64.2,64.7,64.9,65.4,65.5,65.9,65.8,67.3,67.3,67.7,68,68.2,68.3,68.5,68.7
Austria,44.9,46.4,46.4,49.5,50.2,51.9,52.6,52.7,52.4,51.9,53.1,52.9,53,57.3,55.1,54.4,55.3,56.8,58,58.1,57.1,57.2,57.9,57.7,57.4,57.7,57.6,57.8,58,58.3,58.5,58.7
Azerbaijan,49.4,45.6,43,41.9,40.9,39.9,41.6,43.1,43.5,45.6,46.4,46.2,45.8,43.6,43.3,43.6,43.2,43.3,48.1,46.8,46.3,46.3,46.7,46.8,47.2,46.9,46.4,46.9,47.3,47.5,47.9,48.3
Bahamas,67.4,67.7,72.5,72,71,69.6,72.3,70.6,66.6,65.1,66.1,66.2,69.6,65.9,64.3,65.3,66.6,68,67.4,69.9,73.5,72.6,72.5,71.9,74.8,75.3,75.3,75.3,75.3,75.4,75.4,75.4
Bahrain,64.4,65.5,67,65.6,64.8,66.5,65.7,66.4,68.1,66.8,65.6,65.8,65.6,66,63.3,60.4,57.7,56.1,56.9,56,56.9,56.8,57.2,56.9,56.4,56.1,57,56.6,56.2,56,56.2,56.2
Bangladesh,20.7,22.2,24.3,25.8,27.2,29.8,28.8,28.4,28.2,28,30.9,34.2,38.1,40.5,42.9,42.9,41.9,41.2,40.3,39.8,38.5,38.2,38.3,40.6,43.1,44.4,46.4,47.6,48.8,49.8,50.8,51.6
Barbados,63.4,62.8,64.4,64.4,64.3,64.7,62.7,62.6,63.5,63.4,64.2,64.6,65.1,66,63.4,60.4,58.4,55.8,51.7,51.9,66.1,68.4,66.8,65.2,67.1,67,67,67.1,67.2,67.3,67.4,67.5
Belarus,26.9,26.4,28.6,30.3,29.6,29.8,30.2,31.6,32.7,33.6,36,36.9,37,36.6,38,38.8,39.4,38.7,39.9,41.1,41.5,41.7,41.7,42.1,43.5,44,44.2,44.6,45,45.8,46.2,46.7
Belgium,56.1,56.4,57.9,58.4,58.9,59.5,60.1,60,60.2,61,62.9,62.1,62.9,61.6,62.6,62,62.7,61.8,63.4,64,63.9,65.8,65.4,65.8,65.7,65.9,65.8,65.9,66,66.2,66.4,66.6
Belize,38.5,43.7,44.9,46.7,43.5,42.7,41,46,44.4,44.4,45.8,47.4,49,49.6,50.5,50.7,51,49.9,51.5,52.7,52.7,53.9,54.5,55.6,56.4,58.6,58.1,57.6,57.9,58,58,58
Benin,31,31.5,31.2,31,31.7,30.8,31,31.3,28.7,29.4,29.4,29.6,30,30.1,30.3,30.6,31.6,32.9,32.6,32.9,29.4,30.5,30.8,31.1,31,31.4,29.6,30.1,30.7,31.2,31.7,32.4
Bhutan,17.6,17.2,18,17.5,19.7,20.7,21.9,22,22.4,22.5,22.2,22.8,23.5,26.1,31.1,35.1,32.6,33.3,35.8,38.5,36,39.2,38.9,37.5,37.6,38.9,38.8,39.9,40.7,40.1,39.9,40.6
Bolivia,33.6,34,34.3,34.5,34.8,35.4,35.6,36.3,37.1,34.7,33.8,32.3,36.8,36.8,38.1,39.1,39.9,41.9,42,42.1,42,44.2,43.7,40.8,42.1,42.3,42.6,43,43.2,43.4,43.7,44
Bosnia and Herzegovina,22.4,22.3,22.3,21.9,23.4,27.4,30.8,32.5,36,39.3,39.7,41.1,41.6,41.6,41.8,42.8,42.8,42.6,43.4,44.3,44.1,44.7,44.6,44.9,38.6,42.1,42.2,42.7,43.1,43.4,43.8,44.2
Botswana,46.9,47.8,48.9,50.6,51.4,51.2,50.9,47.3,51,51.7,51.6,48.9,45.3,46,46.8,46.7,47.3,47.8,46.9,48.8,47.3,47.2,48.3,48.6,48,49.1,49,49.3,49.7,50,50.3,50.7
Brazil,44.1,43.3,43.8,42.2,45.8,46.5,46.7,47.3,47.6,49,49.8,49,49.5,48.7,49.1,50,50.2,50.2,50.9,51.6,52.2,54.2,54.3,55.2,56.2,57.7,57.7,57.8,58,58.2,58.4,58.6
Brunei,66.2,65.8,66.2,66.4,64.9,63.6,64.6,65.5,69.2,69.8,69.5,68.9,70.5,71.6,72.4,73.4,73.7,73,73.3,73.4,73.4,73.5,73.5,75.2,75.3,76,76.3,76.3,76.7,76.9,77.2,76.7
Bulgaria,38.8,39.9,42.6,44.2,43.9,47.7,44.4,46,45.4,47,51.6,50.8,50.7,50.4,50.4,50.2,49.3,48.1,49.1,51,53.3,54.7,55.5,54.6,54.7,54.8,55.5,55.9,56.2,56.4,56.7,56.9
Burkina Faso,9.06,9.05,9.06,8.63,9.04,9.26,9.6,10,10.6,11.3,11.7,12.1,12.5,13.3,13.7,14.7,17.8,19.6,22.5,25.3,28,30.7,33.2,31.9,32.8,33.3,33.7,34.2,34.8,35.2,35.7,36.2
Burundi,9.35,9.18,8.64,9.12,8.97,8.38,8.8,8.97,8.79,8.87,9.08,9.14,9.03,9.11,8.93,9.13,9.6,9.61,9.49,9.64,9.68,9.81,9.99,10.1,9.69,9.96,9.82,9.76,9.82,9.89,9.97,10.1
Cambodia,18.8,18.5,17.7,18.1,17.7,18.3,18.6,23.3,21.6,20.4,20.5,20.6,20.5,21.4,21.8,22.1,22.6,22.5,26.7,30.1,35.9,41.5,42,42.8,43.4,44.1,44.7,45.5,46.2,47,47.8,48.5
Cameroon,24.7,24.4,23.2,22.6,23,23.9,23.9,24.3,24.2,24.6,25.4,25.7,26.1,26.6,26.5,26.6,27.1,27.3,26.6,26.9,27.4,27.7,28.3,28.8,29.4,29.6,29.6,29.9,30.3,30.7,31.1,31.5
Canada,62,63,63.6,63.5,63.5,63.8,63.6,63.4,63.6,63.5,64.1,63.9,64.2,64.1,64.2,65,65.6,65.6,66.6,66.8,67.1,67,67.2,67.5,67.9,68,67.9,68.1,68.3,68.3,68.5,68.6
Cape Verde,12.7,13.3,13.6,14.5,15.6,16,17.1,18.1,18.6,19.7,20.4,21,21.5,22.2,23,24.2,25.2,25.7,25.6,25.9,26.5,27.5,28,27.7,27.6,28.5,28.7,29.2,29.6,30.1,30.5,30.9
Central African Republic,9.8,9.57,9.41,9.7,9.55,9.44,9.45,9.38,9.92,9.74,9.67,9.71,9.19,9.4,9.33,9.3,9.37,9.26,9.37,9.41,9.35,9.61,8.63,8.92,8.89,9.02,8.9,8.99,9.08,9.18,9.28,9.38
Chad,9.84,10.1,9.65,9.29,9.43,9.18,9.24,9.33,9.31,8.95,8.8,8.73,8.72,9.78,10.1,9.9,9.98,9.95,10.1,9.6,9.76,9.85,10.1,10.2,10.3,10.8,10.7,10.8,10.9,10.9,11,11
Chile,43.9,44.8,46,47.4,48.1,47.8,47.3,49.4,51.9,51.8,52.6,52.4,52.6,52.7,53.9,53.5,53.5,54,52.9,54.9,54.5,54.2,54.5,54.9,55.7,56.1,56.2,56.5,56.7,56.8,57,57.1
China,22.4,23.5,24.2,25.6,26.5,27.4,28.9,30.4,31.7,32.8,33.8,34.9,35.3,36.3,37.8,39.5,41.2,42.4,43.6,44.6,46.1,47.5,49,50.5,52.4,53.5,54.3,55.4,56.3,57.2,58,58.7
Colombia,44.6,46.3,46,46.3,46.7,48.2,48.9,48.9,49.5,51.7,50.2,50.5,50.4,50.2,49.2,49.8,50.9,51,50.8,51.4,50.4,51.5,53.3,53.4,53.4,53.6,53.6,53.9,54.2,54.4,54.7,55
Comoros,32.7,32,32.1,31.5,31.1,30.6,30.5,30.1,30.2,34,34.2,34,33.5,33.5,33.3,33.6,33.3,32.8,33.2,33,33.2,33.1,33.1,32.9,33,32.8,33.1,33.2,33.2,33.3,33.5,33.8
"Congo, Dem. Rep.",10.6,9.94,9.38,8.82,8.7,8.02,8.02,8.04,8.3,8.49,7.91,8,8.19,8.28,8.41,8.56,8.72,8.53,8.69,13.3,13.4,13.2,12.3,9.29,9.61,9.95,10,10,10.1,10.1,10.2,10.3
"Congo, Rep.",41.2,41,41.6,36.8,37.3,37.9,38.4,39.4,37.2,36.8,37.3,38.2,37.1,37.1,37.7,38.2,38.2,37.6,39,38.5,38.4,38.1,38.2,37.3,38.6,38.5,38.2,38,38.3,38.7,39.4,39.8
Costa Rica,40.1,41.2,42.9,43.6,45.9,45.9,46,47.2,46.8,47.2,51.7,51.5,52.9,53.1,52.7,54.1,54.8,56.2,55.7,55,60.5,62.1,64.4,61.7,57.6,58.9,59.1,59.5,59.9,60.2,60.5,60.9
Cote d'Ivoire,39.1,39.2,38.8,38.4,38.2,38.8,38.5,38.9,39.6,39,38.8,38.5,37.7,39,39,39.4,39.4,39.4,40.3,39.8,39.3,40.3,38.4,37.3,37.6,37.7,38.1,39,39.8,40.6,41.3,42.1
Croatia,40,39.1,38.2,40.1,44.5,45.8,47.2,47.9,46.5,50.2,47.4,47.1,45.3,45.3,46.8,47.5,48.1,47.1,47.9,48.8,48.6,50.5,50.3,52.3,52.5,53.1,53,53.4,53.7,54.1,54.5,54.9
Cuba,47.5,46.2,45,43.2,42.6,42.5,42.5,49.7,44.4,44.3,49.2,49.1,48.9,50.3,51.1,52.4,53.5,53.4,53.6,54.6,53.3,51.2,53.9,53.8,54.5,54.9,54.6,54.7,55,55.4,55.9,56.5
Cyprus,57.1,58,58.9,59.6,61.5,61.6,61.9,63.1,63.6,63.2,62.9,62.7,62.4,61.5,60.6,62.9,61.7,61.1,63.5,65.5,63.6,66.2,69.5,68.7,69.5,68.5,68.5,68.8,68.9,69.1,69.2,69.3
Czech Republic,35.5,37.4,38.8,40.5,41.1,41.6,41.9,42.2,43.3,43.8,44,44.4,45,45.4,45.7,45.6,45.3,45.3,46.7,47,46.7,46.7,47.5,47.3,47,47.1,47.3,47.7,48,48.3,48.5,48.7
